,water,uv,area,fertilizer_usage,yield,pesticides,pa,pb,pc,pd,r0,r1,r2,r3,r4,r5,r6,water2,uv2,pesticides2,water3,uv3,pesticides3
0,5.615,65.281,3.23,0.0,7.977,8.969,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.528225000000003,4261.608961000001,80.44296099999998,177.03098337500003,278202.0945830411,721.4929172089999
1,7.044,73.319,9.081,0.0,23.009,7.197,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.61793599999999,5375.675761,51.796809,349.5087411839999,394139.17112075904,372.78163437300003
2,5.607,60.038000000000004,2.864,2.0,23.019000000000002,7.4239999999999995,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.438449000000002,3604.5614440000004,55.11577599999999,176.27538354300003,216410.65997487205,409.17952102399994
3,9.346,64.719,2.7969999999999997,2.0,28.066,1.256,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,87.347716,4188.5489609999995,1.577536,816.351753736,271078.7002069589,1.981385216
4,7.968999999999999,73.38363134502183,5.407,1.0,29.14,0.27399999999999997,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,63.50496099999999,5385.15734938207,0.07507599999999998,506.0710342089999,395182.4016619887,0.02057082399999999
5,5.92,78.735,5.245,2.0,29.506999999999998,1.136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0464,6199.200225,1.2904959999999999,207.474688,488094.029715375,1.4660034559999997
6,9.07,71.76899999999999,4.13,2.0,29.673000000000002,2.075,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,82.26490000000001,5150.789360999999,4.305625000000001,746.142643,369667.00164960884,8.934171875000002
7,5.536620738019281,77.619,6.824,1.0,30.967,1.4969999999999999,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.654169196665173,6024.709161,2.2410089999999996,169.72050888100824,467631.900367659,3.354790472999999
8,11.482000000000001,65.26899999999999,2.798,4.0,31.438000000000002,2.334,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,131.83632400000002,4260.042360999999,5.4475560000000005,1513.7446721680005,278048.7048601089,12.714595704
9,3.819,66.138,6.2589999999999995,0.0,32.389,0.948,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.584761,4374.235044000001,0.898704,55.699202258999996,289303.1573400721,0.8519713919999998
